Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Year,Steam Plant Type
25,Greenidge Generation Holdings LLC,2527.0,Greenidge Generation LLC,NY,4,RE,N,N,, , ,ST, , ,SB,OT,1988,,,,,,,ST, ,NP,DA,1995,,,,,,,ST,0.28,PB,NV,1971,, ,,,,,,,2013,
25,Greenidge Generation Holdings LLC,2527.0,Greenidge Generation LLC,NY,5,RE,N,N,, , ,ST, , ,SB,MO,1988,,,,,,,ST, ,NP,DA,1995,,,,,,,ST,0.28,PB,NV,1971,, ,,,,,,,2013,
25,Greenidge Generation Holdings LLC,2527.0,Greenidge Generation LLC,NY,6,OP,D,N,, , ,ST,0.19,1,SB,OH,2007,NC,,,NC,,,ST,0.12,NP,OT,1995,AA,LN,SR,SN,,,ST,0.22,PB,NV,1970,ST,2007,BP,CD,ACI,,,,2013,
470,Covanta Energy of Niagara LP,50472.0,Covanta Niagara LP,NY,BLR1,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
470,Covanta Energy of Niagara LP,50472.0,Covanta Niagara LP,NY,BLR2,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
470,Covanta Energy of Niagara LP,50472.0,Covanta Niagara LP,NY,BLR3,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
470,Covanta Energy of Niagara LP,50472.0,Covanta Niagara LP,NY,BLR4,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
470,Covanta Energy of Niagara LP,50472.0,Covanta Niagara LP,NY,BLR5,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
473,Covanta Hempstead Company,10642.0,Covanta Hempstead,NY,1,OP,N,,, , ,, , ,,, ,,,,,,,ST,145.7,NH,OH,2004,SN,LA,,SN,LA,,, ,,, ,ST,2007,BR,,,BR,,,2013,
473,Covanta Hempstead Company,10642.0,Covanta Hempstead,NY,2,OP,N,,, , ,, , ,,, ,,,,,,,ST,145.7,NH,OH,2004,SN,LA,,SN,LA,,, ,,, ,ST,2007,BR,,,BR,,,2013,
473,Covanta Hempstead Company,10642.0,Covanta Hempstead,NY,3,OP,N,,, , ,, , ,,, ,,,,,,,ST,145.7,NH,OH,2004,SN,,,SN,,,, ,,, ,ST,2007,BR,,,BR,,,2013,
1746,Black River Generation LLC,10464.0,Black River Generation,NY,E0001,OP,N,,, , ,, , ,,, ,,,,,,,FD, ,,, ,,,,NC,,,, ,,, ,, ,,,,,,,2013,
1746,Black River Generation LLC,10464.0,Black River Generation,NY,E0002,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
1746,Black River Generation LLC,10464.0,Black River Generation,NY,E0003,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,2013,
3085,Carthage Energy LLC,10620.0,Carthage Energy LLC,NY,HRSG,OP,,,, , ,, , ,,, ,,,,,,,ST,42,NM,OH,1991,STM,,,MS,,,, ,,, ,, ,,,,,,,2013,
4226,Consolidated Edison Co-NY Inc,2493.0,East River,NY,60,OP,N,N,, , ,ST, , ,SU,NV,1972,NC,,,NC,,,LO, ,NM,NV,1995,OV,LA,,LN,,,ST,0.1,PB,NV,1973,, ,,,,,,,2013,
4226,Consolidated Edison Co-NY Inc,2493.0,East River,NY,70,OP,N,N,, , ,ST, , ,SU,NV,1972,NC,,,NC,,,LO, ,NM,NV,1995,OV,FR,,LN,,,ST,0.1,PB,NV,1973,, ,,,,,,,2013,
4484,Covanta Babylon Inc,50649.0,Covanta Babylon Inc,NY,1,OP,N,,, , ,, , ,,, ,,,,,,,ST,150,NH,DA,1989,SN,,,SN,,,, ,,, ,ST,1989,ACI,,,ACI,,,2013,
4484,Covanta Babylon Inc,50649.0,Covanta Babylon Inc,NY,2,OP,N,,, , ,, , ,,, ,,,,,,,ST,150,NM,DA,1989,SN,,,SN,,,, ,,, ,ST,1989,ACI,,,ACI,,,2013,
4487,Covanta Onondega LP,50662.0,Onondaga County Resource Recovery,NY,UNIT1,OP,N,,, , ,ST, , ,,, ,,,,,,,ST,180,NM,DA,1995,NH3,,,NH3,,,, ,,, ,ST,1995,ACI,SD,BP,ACI,SD,BP,2013,
4487,Covanta Onondega LP,50662.0,Onondaga County Resource Recovery,NY,UNIT2,OP,N,,, , ,, , ,,, ,,,,,,,ST,180,NM,DA,1995,NH3,,,NH3,,,, ,,, ,ST,1995,ACI,SD,BP,ACI,SD,BP,2013,
4487,Covanta Onondega LP,50662.0,Onondaga County Resource Recovery,NY,UNIT3,OP,N,,, , ,, , ,,, ,,,,,,,ST,180,NM,DA,1995,NH3,,,NH3,,,, ,,, ,ST,1995,ACI,SD,BP,ACI,SD,BP,2013,
5511,CCI Roseton LLC,8006.0,Roseton Generating Facility,NY,1,OP,N,N,, , ,ST,0.55, ,SU,YR,1974,SS,,,SS,,,ST,0.15,NP,MO,1995,OV,FR,,MS,,,ST,0.1,PB,NV,1974,ST,1974,,,,,,,2013,
5511,CCI Roseton LLC,8006.0,Roseton Generating Facility,NY,2,OP,N,N,, , ,ST,0.55, ,SU,YR,1974,SS,,,SS,,,ST,0.15,NP,MO,1995,OV,FR,,OV,FR,,ST,0.1,PB,NV,1974,ST,1974,,,,,,,2013,
