Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Cofire Fuels?,Switch Between Oil and Natural Gas?,Year,Technology,Turbines or Hydrokinetic Buoys,Multiple Fuels?
25,Greenidge Generation Holdings LLC,2527.0,Greenidge Generation LLC,NY,Yates,4,ST,,W,N,N,,,112.5,0.85,107.5,106.3,40,N, , ,OP,,12,1953, , ,N,IPP Non-CHP,2,,BIT,WDS,NG,SUB,,,DFO,,,,N,N, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,N, , ,Y,N,2013,,,
326,Alice Falls Corp,54391.0,Alice Falls Hydro Project,NY,Clinton,1,HY,,S,N,N,,,1.5, ,1.5,1.5, ,, , ,OA,,11,1991, , ,N,IPP Non-CHP,2,,WAT,,,,,,,,,,,,0,,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
326,Alice Falls Corp,54391.0,Alice Falls Hydro Project,NY,Clinton,2,HY,,S,N,N,,,0.6, ,0.7,0.7, ,, , ,OA,,11,1991, , ,N,IPP Non-CHP,2,,WAT,,,,,,,,,,,,0,,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
463,Ameresco LFG I Inc,10549.0,Al Turi,NY,Orange,2,IC,,S,N,N,,,0.8,0.8,0.8,0.8,0.4,N, , ,OP,,7,2011, , ,N,IPP Non-CHP,2,,LFG,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
463,Ameresco LFG I Inc,10549.0,Al Turi,NY,Orange,3,IC,,S,N,N,,,0.8,0.8,0.8,0.8,0.4,N, , ,OP,,7,2011, , ,N,IPP Non-CHP,2,,LFG,,,,,,,,,,N,,0,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
463,Ameresco LFG I Inc,10549.0,Al Turi,NY,Orange,3010,IC,,S,N,N,,,0.8,0.8,0.8,0.8,0.4,N, , ,OS,,11,1998,12,2017,N,IPP Non-CHP,2,,LFG,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,N, , ,,,2013,,,
470,Covanta Energy of Niagara LP,50472.0,Covanta Niagara LP,NY,Niagara,GEN1,ST,,S,N,N,,,25.0,0.9,18,18,3,N, , ,OP,,8,1980, , ,Y,IPP CHP,3,B,MSW,WDS,NG,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,2013,,,
470,Covanta Energy of Niagara LP,50472.0,Covanta Niagara LP,NY,Niagara,GEN2,ST,,S,N,N,,,25.0,0.9,18,18,3,N, , ,OP,,8,1980, , ,Y,IPP CHP,3,B,MSW,WDS,NG,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,2013,,,
473,Covanta Hempstead Company,10642.0,Covanta Hempstead,NY,Nassau,GEN1,ST,,S,N,N,,,78.6,1,71.8,70.8,24,N, , ,OP,,4,1989, , ,N,IPP Non-CHP,2,,MSW,WDS,DFO,,,,DFO,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,2013,,,
1268,Bayswater Peaking Facility LLC,55699.0,Bayswater Peaking Facility LLC,NY,Queens,1,GT,,S,N,N,,,60.5,1,53.9,56.1,26,N, , ,OP,,6,2002, , ,N,IPP Non-CHP,2,,NG,,,,,,,,,,N,,2,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,2013,,,
1362,Bassett Healthcare,54863.0,Bassett Medical Center,NY,OTSEGO,0001,IC,,S,N,N,,,0.8,0.8,0.8,0.8,0.8,N, , ,SB,N,7,1992, , ,N,Commercial Non-CHP,4,,DFO,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
1362,Bassett Healthcare,54863.0,Bassett Medical Center,NY,OTSEGO,0002,IC,,S,N,N,,,0.8,0.8,0.8,0.8,0.8,N, , ,SB,N,7,1992, , ,N,Commercial Non-CHP,4,,DFO,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
1362,Bassett Healthcare,54863.0,Bassett Medical Center,NY,OTSEGO,0003,IC,,S,N,N,,,0.8,0.8,0.8,0.8,0.8,N, , ,SB,N,7,1992, , ,N,Commercial Non-CHP,4,,DFO,,,,,,,,,,N,N, ,10M,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,2013,,,
1362,Bassett Healthcare,54863.0,Bassett Medical Center,NY,OTSEGO,0004,IC,,S,N,N,,,1.6,1,1.6,1.6,1.6,N, , ,SB,N,5,2004, , ,N,Commercial Non-CHP,4,,DFO,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,2013,,,
1362,Bassett Healthcare,54863.0,Bassett Medical Center,NY,OTSEGO,0005,IC,,S,N,N,,,1.6,1,1.6,1.6,1.6,N, , ,SB,N,5,2006, , ,N,Commercial Non-CHP,4,,DFO,,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,N, , ,N,N,2013,,,
1746,Black River Generation LLC,10464.0,Black River Generation,NY,Jefferson,GEN1,ST,,W,N,N,,,55.5,0.95,55,56,15,N, , ,OP,,6,1989, , ,N,Electric Utility,1,,WDS,TDF,DFO,,,,DFO,JF,,,N,, ,12H,N,,,,,,, , , , , , , , ,,, , , ,, , ,Y,Y,2013,,,
2313,Brooklyn Navy Yard Cogen PLP,54914.0,Brooklyn Navy Yard Cogeneration,NY,Kings,01,CT,CC1,J,N,N,,,121.0,1,90,110,90,N, , ,OP,,3,1996, , ,Y,IPP CHP,3,T,NG,DFO,,,,,,,,,N,, ,,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y,2013,,,
2313,Brooklyn Navy Yard Cogen PLP,54914.0,Brooklyn Navy Yard Cogeneration,NY,Kings,02,CT,CC2,J,N,N,,,121.0,1,90,110,90,N, , ,OP,,3,1996, , ,Y,IPP CHP,3,T,NG,DFO,,,,,,,,,N,, ,,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y,2013,,,
2313,Brooklyn Navy Yard Cogen PLP,54914.0,Brooklyn Navy Yard Cogeneration,NY,Kings,03,CA,CC1,J,N,N,,,40.0,1,35,38,35,N, , ,OP,,6,1996, , ,Y,IPP CHP,3,T,NG,,,,,,,,,,,, ,,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
2313,Brooklyn Navy Yard Cogen PLP,54914.0,Brooklyn Navy Yard Cogeneration,NY,Kings,04,CA,CC2,J,N,N,,,40.0,1,35,38,35,N, , ,OP,,6,1996, , ,Y,IPP CHP,3,T,NG,,,,,,,,,,,, ,,,,,,,,, , , , , , , , ,,, , , ,, , ,,,2013,,,
