Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?,Year,Technology,Multiple Fuels?,Operating Month,Operating Year
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,Yates,4,OP,ST,IPP Non-CHP,2,112.5,107.5,106.3,BIT,WDS,Y,BIT,NG,WDS,SUB,DFO,,N,, , , , ,,,,,,,2013,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,Niagara,GEN1,OP,ST,IPP CHP,3,25.0,18,18,MSW,WDS,Y,NG,MSW,WDS,,,,N,, , , , ,,,,,,,2013,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,Niagara,GEN2,OP,ST,IPP CHP,3,25.0,18,18,MSW,WDS,Y,NG,MSW,WDS,,,,N,, , , , ,,,,,,,2013,,,,
1746,Black River Generation LLC,10464,Black River Generation,NY,Jefferson,GEN1,OP,ST,Electric Utility,1,55.5,55,56,WDS,TDF,Y,WDS,DFO,TDF,,,,Y,N, , , , ,,,N,,,,2013,,,,
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,Kings,01,OP,CT,IPP CHP,3,121.0,90,110,NG,DFO,N,,,,,,,Y,Y,85, ,95, ,1H,1H,Y,,Y,,2013,,,,
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,NY,Kings,02,OP,CT,IPP CHP,3,121.0,90,110,NG,DFO,N,,,,,,,Y,Y,85, ,95, ,1H,1H,Y,,Y,,2013,,,,
3085,Carthage Energy LLC,10620,Carthage Energy LLC,NY,Jefferson,GEN1,SB,CT,IPP Non-CHP,2,40.9,38.2,44.7,NG,DFO,Y,NG,DFO,,,,,Y,Y,40.03,45,40.03,45,1H,1H,Y,Y,Y,,2013,,,,
3249,Central Hudson Gas & Elec Corp,2487,West Coxsackie,NY,Greene,GT1,OP,GT,Electric Utility,1,21.6,21.3,21.3,KER,NG,N,,,,,,,Y,Y,19.6, ,19.6, ,1H,1H,Y,,Y,,2013,,,,
4226,Consolidated Edison Co-NY Inc,2493,East River,NY,New York,1,OP,GT,Electric Utility,1,180.0,144.2,180.4,NG,DFO,N,,,,,,,Y,N,143.8, ,143.8, ,UNK,,Y,,Y,,2013,,,,
4226,Consolidated Edison Co-NY Inc,2493,East River,NY,New York,2,OP,GT,Electric Utility,1,180.0,143.3,181.8,NG,DFO,N,,,,,,,Y,N,148.3, ,148.3, ,UNK,,Y,,Y,,2013,,,,
4226,Consolidated Edison Co-NY Inc,2493,East River,NY,New York,6,OP,ST,Electric Utility,1,156.2,137.7,137.9,RFO,NG,N,,,,,,,Y,Y,132.2, ,130, ,6H,,Y,,,Y,2013,,,,
4226,Consolidated Edison Co-NY Inc,2493,East River,NY,New York,7,OP,ST,Electric Utility,1,200.0,184.1,185,RFO,NG,N,,,,,,,Y,Y,176.7, ,170, ,6H,,Y,,,Y,2013,,,,
5511,CCI Roseton LLC,8006,Roseton Generating Facility,NY,Orange,1,OP,ST,IPP Non-CHP,2,621.0,639,638.5,NG,RFO,Y,RFO,NG,,,,,Y,Y,619,618,619,618,1H,1H,Y,,,Y,2013,,,,
