Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,Net Metering (for facilities with solar or wind generation),FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Natural Gas Pipeline Name,Year,Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,590 Plant Road,Dresden,NY,14441,Yates,42.6789,-76.9483,NPCC,NYIS,New York Independent System Operator,Seneca Lake,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-1773-000,Y,N,OP,New York State Elec & Gas Corp,13511,NY,115, , ,NYSEG - local distribution pipeline,2013,,,,,,,,
40,Hospira Inc,55788,Hospira Inc,2400 Walden Avenue,Buffalo,NY,14225,ERIE,42.9167,-78.7333,NPCC,NYIS,New York Independent System Operator,,326,NR,6,Industrial Non-CHP,,N,,N,,N,,N,,,New York State Elec & Gas Corp,13511,NY,12, , ,National Fuel,2013,,,,,,,,
326,Alice Falls Corp,54391,Alice Falls Hydro Project,Route 9,Keeseville,NY,12944,Clinton,44.519153,-73.464752,NPCC,NYIS,New York Independent System Operator,Ausable River,22,NR,2,IPP Non-CHP,,N,,Y,58-67-000,N,,,,,New York State Elec & Gas Corp,13511,NY,23, , ,,2013,,,,,,,,
463,Ameresco LFG I Inc,10549,Al Turi,91 Hartley Road,Goshen,NY,10924,Orange,41.4083,-74.3731,NPCC,NYIS,New York Independent System Operator,,22,NR,2,IPP Non-CHP,,N,,Y,87-63-000,N,,N,,,Orange & Rockland Utils Inc,14154,NY,12.5, , ,,2013,,,,,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,100 Energy Blvd & 56th St,Niagara Falls,NY,14304,Niagara,43.0839,-79.0056,NPCC,NYIS,New York Independent System Operator,Niagara River & Municipality,22,NR,3,IPP CHP,,Y,"82-83-003, 82-83-002",N,,N,,N,,,National Grid,56404,NY,115, , ,National  Fuel Gas Distribution Network ,2013,,,,,,,,
473,Covanta Hempstead Company,10642,Covanta Hempstead,600 Merchants Concourse,Westbury,NY,11590,Nassau,40.7389,-73.5906,NPCC,NYIS,New York Independent System Operator,Wells And Municipal,22,NR,2,IPP Non-CHP,,N,,Y,86-124-000,N,,N,,,Long Island Power Authority,11171,NY,69, , ,,2013,,,,,,,,
1268,Bayswater Peaking Facility LLC,55699,Bayswater Peaking Facility LLC,14-25 Bay 24th Street,Far Rockaway,NY,11691,Queens,40.610654,-73.762218,NPCC,NYIS,New York Independent System Operator,Municipality,22,NR,2,IPP Non-CHP,,N,,N,,Y,02-61-000,N,,,Long Island Power Authority,11171,NY,69, , ,National Grid,2013,,,,,,,,
1362,Bassett Healthcare,54863,Bassett Medical Center,1 Atwell Road,Cooperstown,NY,13326,OTSEGO,42.6944,-74.9242,NPCC,NYIS,New York Independent System Operator,Municipality,622,NR,4,Commercial Non-CHP,,N,,N,,N,,,,,New York State Elec & Gas Corp,13511,NY,12.47, , ,,2013,,,,,,,,
1746,Black River Generation LLC,10464,Black River Generation,Euphrates RV Rd. & Oneida Ave.,Fort Drum,NY,13602,Jefferson,44.03647,-75.77204,NPCC,NYIS,New York Independent System Operator,Black River,22,RE,1,Electric Utility,,N,,Y,00-76-0000,Y,04-32-000,N,,,National Grid,56404,NY,115, , ,,2013,,,,,,,,
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,"63 Flushing Ave., Building 41",Brooklyn,NY,11205,Kings,40.699357,-73.976392,NPCC,NYIS,New York Independent System Operator,East River,22,NR,3,IPP CHP,,Y,95-302-001,N,,N,,,,,Consolidated Edison Co-NY Inc,4226,NY,138, , ,National Grid delivers fuel to the Plant.  No pipelines are connected to the Plant.,2013,,,,,,,,
2598,Burrows Paper Corp,50652,Lyonsdale Associates,Lyonsdale Road,Lyons Falls,NY,13368,Lewis,43.618874,-75.30546,NPCC,NYIS,New York Independent System Operator,Moose River,22,NR,2,IPP Non-CHP,,N,,Y,85-48-000,N,,,,,National Grid,56404,NY,115, , ,,2013,,,,,,,,
3085,Carthage Energy LLC,10620,Carthage Energy LLC,701 West End Ave,Carthage,NY,13619,Jefferson,43.9842,-75.6225,NPCC,NYIS,New York Independent System Operator,Black River,22,NR,2,IPP Non-CHP,,N,,N,,Y,99-87-000,,,,National Grid,56404,NY,115, , ,Iroquois,2013,,,,,,,,
3249,Central Hudson Gas & Elec Corp,579,Central Hudson High Falls,Route 213,High Falls,NY,12440,ULSTER,41.828814,-74.131877,NPCC,NYIS,New York Independent System Operator,Rondout Creek,22,RE,1,Electric Utility,,N,,N,,N,,,,,Central Hudson Gas & Elec Corp,3249,NY,69, , ,,2013,,,,,,,,
3249,Central Hudson Gas & Elec Corp,2481,Dashville,Route 213,Dashville,NY,12471,Ulster,41.8217,-74.0497,NPCC,NYIS,New York Independent System Operator,Walkill River,22,RE,1,Electric Utility,,N,,N,,N,,,,,Central Hudson Gas & Elec Corp,3249,NY,69, , ,,2013,,,,,,,,
3249,Central Hudson Gas & Elec Corp,2485,South Cairo,Route 32,Cairo,NY,12413,Greene,42.291275,-73.986452,NPCC,NYIS,New York Independent System Operator,,22,RE,1,Electric Utility,,N,,N,,N,,,,,Central Hudson Gas & Elec Corp,3249,NY,69, , ,,2013,,,,,,,,
3249,Central Hudson Gas & Elec Corp,2486,Sturgeon,Coutant Road,Tillson,NY,12486,Ulster,41.848191,-74.046678,NPCC,NYIS,New York Independent System Operator,Walkill River,22,RE,1,Electric Utility,,N,,N,,N,,,,,Central Hudson Gas & Elec Corp,3249,NY,69, , ,,2013,,,,,,,,
