Utility ID,Utility Name,Street Address,City,State,Zip,Owner?,Operator?,Asset Manager?,Other Reltionships with Plants Reported on Form?,Entity Type,Year,Other Relationships with Plants Reported on Form?,Owner of Plants Reported on Form?,Operator of Plants Reported on Form?,Asset Manager of Plants Reported on Form?
25,Greenidge Generation Holdings LLC,PO Box 187590 Plant Rd,Dresden,NY,14441,Y,Y,Y,Y,Q,2013,,,,
40,Hospira Inc,2400 Walden Avenue,Buffalo,NY,14225,Y,Y,Y,Y,COM,2013,,,,
326,Alice Falls Corp,"3 E Comm Square, 3rd Floor",Albany,NY,12207,,,,,Q,2013,,,,
463,Ameresco LFG I Inc,91 Hartley Road,Goshen,NY,10924,Y,Y,Y,Y,Q,2013,,,,
470,Covanta Energy of Niagara LP,100 Energy Blvd @ 56th St,Niagara Falls,NY,14304,Y,Y,Y,Y,I,2013,,,,
473,Covanta Hempstead Company,600 Merchants Concourse,Westbury,NY,11590,Y,Y,Y,Y,Q,2013,,,,
1268,Bayswater Peaking Facility LLC,1425 Bay 24th Street,Far Rockaway,NY,11691,Y,Y,Y,Y,Q,2013,,,,
1362,Bassett Healthcare,1 Atwell Road,Cooperstown,NY,13326,Y,Y,Y,Y,COM,2013,,,,
1746,Black River Generation LLC,P O Box 849,Fort Drum,NY,13602,Y,Y,Y,Y,Q,2013,,,,
2313,Brooklyn Navy Yard Cogen PLP,80-02 Kew Gardens RoadSuite 20,Kew Gardens,NY,11415,Y,Y,Y,Y,Q,2013,,,,
2598,Burrows Paper Corp,PO Box 987 501 West Main St,Little Falls,NY,13365,Y,Y,Y,Y,Q,2013,,,,
2770,Terra-Gen Operating Co LLC,27th Floor565  5th Ave,New York,NY,10017,Y,Y,Y,Y,Q,2013,,,,
3085,Carthage Energy LLC,701 West End Ave,Carthage,NY,13619,Y,Y,Y,Y,Q,2013,,,,
3249,Central Hudson Gas & Elec Corp,284 South Avenue,Poughkeepsie,NY,12601,Y,Y,Y,Y,I,2013,,,,
4226,Consolidated Edison Co-NY Inc,"Four Irving Place, Room 523",New York,NY,10003,Y,Y,Y,Y,I,2013,,,,
4386,Cornell Hydro,135 Humphrey Service Building,Ithaca,NY,14853,Y,Y,Y,Y,Q,2013,,,,
4735,Dahowa Hydro,P O Box 189Mill Road Middle Fa,Greenwich,NY,12834,Y,Y,Y,Y,Q,2013,,,,
5277,"American Sugar Refining, Inc.",1 Federal Street,Yonkers,NY,10702,Y,Y,Y,Y,Q,2013,,,,
5511,CCI Roseton LLC,992 River Road,Newburgh,NY,12550,Y,Y,Y,Y,Q,2013,,,,
5624,"RED-Rochester, LLC",1669 Lake AvenueBuilding 26/1,Rochester,NY,14652,Y,Y,Y,Y,IND,2013,,,,
5943,Entergy Nuc Fitzpatrick LLC,440 Hamilton Avenue,White Plains,NY,10601,,,,,I,2013,,,,
5956,Entergy Nuclear Vermont Yankee,440 Hamilton Avenue,White Plains,NY,10601,,,,,I,2013,,,,
6027,Entergy Nuclear Indian Point 2,440 Hamilton Ave,White Plains,NY,10601,,,,,I,2013,,,,
6028,Entergy Nuclear Indian Point 3,440 Hamilton Avenue,White Plains,NY,10601,,,,,I,2013,,,,
6495,Fort Miller Associates,25 Canterbury Road,Clifton Park,NY,12065,,,,,Q,2013,,,,
6554,FortisUS Energy Corp,7659 Lyonsdale Rd,Lyons Falls,NY,13368,Y,Y,Y,Y,Q,2013,,,,
6775,Village of Freeport - (NY),46 North Ocean Ave,Freeport,NY,11520,Y,Y,Y,Y,M,2013,,,,
6838,CCI Rensselaer LLC,39 Riverside Ave,Rensselaer,NY,12144,Y,Y,Y,Y,Q,2013,,,,
7011,Gas Recovery Services-IL Inc,5087 Junction Road,Lockport,NY,14094,Y,Y,Y,Y,Q,2013,,,,
7092,General Mills Inc,54 South Michigan Avenue,Buffalo,NY,14203,,,,,IND,2013,,,,
7308,Hawkeye Energy Greenport LLC,100 Marcus Blvd,Hauppauge,NY,11788,,,,,Q,2013,,,,
7630,Village of Greenport - (NY),236 3rd Street,Greenport,NY,11944,,,,,M,2013,,,,
