Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Cofire Fuels?,Switch Between Oil and Natural Gas?
195,Alabama Power Co,2.0,Bankhead Dam,AL,Tuscaloosa,1,Conventional Hydroelectric,HY,,S,X,X,,,53.9,0.92,56,52,52,N, , ,OP,X,7.0,1963.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,1,Natural Gas Steam Turbine,ST,,S,X,X,,,153.1,0.85,55,55,55,N, , ,OP,X,2.0,1954.0,12,2019,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,2,Natural Gas Steam Turbine,ST,,S,X,X,,,153.1,0.85,55,55,55,N, , ,OP,X,7.0,1954.0,12,2019,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,4,Conventional Steam Coal,ST,,S,X,X,,,403.7,0.85,362,362,200,N, , ,OP,X,12.0,1969.0, , ,N,Electric Utility,1.0,X,BIT,,,,,,NG,,,,,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,5,Conventional Steam Coal,ST,,S,X,X,,,788.8,0.85,726.5,726.5,465,N, , ,OP,X,10.0,1971.0, , ,N,Electric Utility,1.0,X,BIT,,,,,,NG,,,,,, ,OVER,,Y,,,,Y,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1CT,Natural Gas Fired Combined Cycle,CT,G521,S,X,N,,,170.1,0.85,154,170,104,N, , ,OP,X,5.0,2000.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1CT2,Natural Gas Fired Combined Cycle,CT,G521,S,X,N,,,170.1,0.85,154,170,104,N, , ,OP,X,5.0,2000.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,A1ST,Natural Gas Fired Combined Cycle,CA,G521,S,Y,X,,,195.2,0.85,173,192,141,N, , ,OP,X,5.0,2000.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2C1,Natural Gas Fired Combined Cycle,CT,G522,S,X,N,,,170.1,0.85,154,170,79,N, , ,OP,X,5.0,2000.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,3.0,Barry,AL,Mobile,A2C2,Natural Gas Fired Combined Cycle,CT,G522,S,X,N,,,170.1,0.85,154,170,87,N, , ,OP,X,5.0,2000.0, , ,N,Electric Utility,1.0,X,NG,,,,,,,,,,,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
