Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),FAA Obstacle Number
309,City of Algona - (IA),7966,Iowa Distributed Wind Generation Project,IA,Kossuth,IDWG,OP,Onshore Wind Turbine,WT,Electric Utility,1,2.3,2.3,2.3,6,2000,GE,Z50,15.7,2,165,19-001472
794,Apollo Energy Corp,56378,Pakini Nui Wind Farm,HI,Hawaii,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,21.0,21.0,21.0,4,2007,GE,GE1.5SE,21,1,210,15-020009
1307,Basin Electric Power Coop,7974,Chamberlain Wind Project,SD,Brule,WTC1,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.3,1.3,1.3,11,2001,Nordex,N-60,18.8,1,196.9,2006-AGL-8458-OE
1307,Basin Electric Power Coop,7974,Chamberlain Wind Project,SD,Brule,WTC2,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.3,1.3,1.3,11,2001,Nordex,N-60,18.8,1,196.9,46-000621
1307,Basin Electric Power Coop,55995,Minot Wind Project,ND,Ward,MWP,OP,Onshore Wind Turbine,WT,Electric Utility,1,2.6,2.6,2.6,1,2003,Nordex,N60,17.9,1,196.9,38-000780
1307,Basin Electric Power Coop,55995,Minot Wind Project,ND,Ward,MWP2,OP,Onshore Wind Turbine,WT,Electric Utility,1,4.5,4.5,4.5,12,2009,GE,1.5SLE,17.9,1,262.5,38-000780
1307,Basin Electric Power Coop,56607,Prairie Winds ND1,ND,Ward,ND1,OP,Onshore Wind Turbine,WT,Electric Utility,1,115.5,115.5,115.5,12,2009,GE,1.5SLE,22.4,1,262.5,38-020581
1307,Basin Electric Power Coop,56608,Prairie Winds SD1,SD,Jerauld,SD1,OP,Onshore Wind Turbine,WT,Electric Utility,1,150.0,150.0,150.0,2,2011,GE,1.5sle,22.4,1,262.5,46-020310
1307,Basin Electric Power Coop,56608,Prairie Winds SD1,SD,Jerauld,SD2,OP,Onshore Wind Turbine,WT,Electric Utility,1,10.5,10.5,10.5,2,2011,GE,1.5sle,22.4,1,262.5,46-020310
1307,Basin Electric Power Coop,56608,Prairie Winds SD1,SD,Jerauld,SD3,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.5,1.5,1.5,2,2011,GE,1.5sle,22.4,1,262.5,46-020310
1361,Bay Windpower LLC,55944,Bay Windpower I,MI,CHEBOYGAN,BAY,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.8,1.8,1.8,12,2001,NEG-Micon,NM900-52,11,3,237,26-002860
1881,Blue Canyon Windpower LLC,56081,Blue Canyon Windpower,OK,Comanche,EW,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,74.3,74.3,74.3,12,2003,Vestas,72,22.4,2,262,1982
2719,CalWind Resources Inc,10191,Tehachapi Wind Resource I,CA,Kern,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,8.7,8.7,8.7,12,1984,Nordtank,65/13,17,1,80,
2719,CalWind Resources Inc,54909,Tehachapi Wind Resource II,CA,Kern,EXI2,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,8.3,8.3,8.3,12,2002,Vestas,V660,20,1,164,
2719,CalWind Resources Inc,54909,Tehachapi Wind Resource II,CA,Kern,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,13.6,13.6,13.6,1,1997,Bonus,65/13,20,1,80,
2770,Terra-Gen Operating Co LLC,10586,Cameron Ridge LLC,CA,Kern,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,59.6,59.6,59.6,12,1984,Micon,M700,22.4,1,180,0
2770,Terra-Gen Operating Co LLC,10597,Ridgetop Energy LLC,CA,Kern,WGN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,29.0,29.0,29.0,1,1984,Nordtank,NTK75,22.4,1,85,0
2770,Terra-Gen Operating Co LLC,50690,San Gorgonio Westwinds II LLC,CA,Riverside,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,43.4,43.4,43.4,6,1999,Micon,M700,22.4,1,180,0
2770,Terra-Gen Operating Co LLC,50821,Mojave 16,CA,Kern,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,30.0,30.0,30.0,12,1989,Mitsubishi,250,22.4,1,100,
2770,Terra-Gen Operating Co LLC,50822,Mojave 17,CA,Kern,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,25.0,25.0,25.0,11,1989,Mitsubishi,250,22.4,1,100,
2770,Terra-Gen Operating Co LLC,50823,Mojave 18,CA,Kern,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,30.0,30.0,30.0,12,1989,Mitsubishi,250,22.4,1,100,
2770,Terra-Gen Operating Co LLC,52160,Victory Garden Phase IV LLC,CA,Kern,WGNS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,22.0,22.0,22.0,5,1990,Vestas,27,22.4,1,140,
2770,Terra-Gen Operating Co LLC,52161,Terra-Gen 251 Wind LLC,CA,Kern,WGNS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,18.4,18.4,18.4,1,1987,Vestas,V17,22.4,1,80,0
2770,Terra-Gen Operating Co LLC,54647,TPC Windfarms LLC,CA,Kern,EXIS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,28.7,28.7,28.7,12,1986,Danwin,160,21,2,80,
2770,Terra-Gen Operating Co LLC,54931,Ridgetop,CA,Kern,WGN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,46.8,46.9,46.9,4,1994,Vestas,V47,22.4,1,180,0
2770,Terra-Gen Operating Co LLC,54979,Big Spring Wind Power Facility,TX,Howard,WIND,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,34.3,34.3,34.3,12,1998,Vestas,V47,22.4,1,180,0
2770,Terra-Gen Operating Co LLC,55608,Foote Creek II,WY,Albany,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,1.8,1.8,1.8,6,1999,Mitsubishi,600,22.4,1,120,0
2770,Terra-Gen Operating Co LLC,55609,Foote Creek III,WY,Albany,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,24.8,24.8,24.8,6,1999,Micon,M750,22.4,1,180,0
2770,Terra-Gen Operating Co LLC,55610,Foote Creek IV,WY,Carbon,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,16.8,16.8,16.8,8,2000,Mitsubishi,MWT-600,22.4,1,164,0
2770,Terra-Gen Operating Co LLC,56570,Terra-Gen VG Wind LLC,CA,Kern,WGNS,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,7.4,7.4,7.4,1,1984,Zond,Z750,22.4,1,180,0
2770,Terra-Gen Operating Co LLC,57282,Alta Wind Energy Center I,CA,KERN,AW01,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,150.0,150.0,150.0,1,2011,GE,1.5,22.4,1,262,0
2770,Terra-Gen Operating Co LLC,57291,Alta Wind Energy Center II,CA,KERN,AW02,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,150.0,150.0,150.0,1,2011,Vestas,V90,22.4,1,262,0
2770,Terra-Gen Operating Co LLC,57292,Alta Wind Energy Center III,CA,KERN,AW03,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,150.0,150.0,150.0,2,2011,Vestas,V90,22.4,1,262,0
2770,Terra-Gen Operating Co LLC,57293,Alta Wind Energy Center IV,CA,KERN,AW04,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,102.0,102.0,102.0,4,2011,Vestas,V90,22.4,1,262,0
2770,Terra-Gen Operating Co LLC,57294,Alta Wind Energy Center V,CA,KERN,AW05,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,168.0,168.0,168.0,4,2011,Vestas,V90,22.4,1,262,0
2770,Terra-Gen Operating Co LLC,58394,Alta Wind X,CA,Kern,AW10,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,138.0,138.0,138.0,1,2014,GE,2.85-103,22.4,1,262,0
2770,Terra-Gen Operating Co LLC,58395,Alta Wind XI,CA,Kern,AW11,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,90.0,90.0,90.0,1,2014,GE,1.7-100,22.4,1,262,0
4254,Consumers Energy Co,57984,Lake Winds Energy Park,MI,Mason,LWEP,OP,Onshore Wind Turbine,WT,Electric Utility,1,100.8,22.0,24.6,11,2012,Vestas,V100,16.7,3,311,26-020944
4254,Consumers Energy Co,58830,Cross Winds Energy Park,MI,Tuscola,CWEP,OP,Onshore Wind Turbine,WT,Electric Utility,1,111.0,21.8,21.8,12,2014,GE,1.7-100,17,3,314.9,26-027415
5109,DTE Electric Company,57421,Gratiot Wind Park,MI,Gratiot,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,102.0,102.0,102.0,11,2011,GE,1.6-XLE,17,3,328,
5109,DTE Electric Company,57851,Sigel Wind Park,MI,Huron,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,64.0,64.0,64.0,12,2012,GE,1.6-100,17,3,328,
5109,DTE Electric Company,57852,Minden Wind Park,MI,Sanilac,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,32.0,32.0,32.0,12,2012,GE,1.6-100,17,3,328,
5109,DTE Electric Company,57853,McKinley Wind Park,MI,Huron,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,14.4,14.0,14.0,12,2012,GE,1.6-100,17,3,328,
5109,DTE Electric Company,58121,Echo Wind Park,MI,Huron,GEN1,OP,Onshore Wind Turbine,WT,Electric Utility,1,49.6,49.6,49.6,1,2014,GE,1.6-100,17,3,328,
5109,DTE Electric Company,58121,Echo Wind Park,MI,Huron,GEN2,OP,Onshore Wind Turbine,WT,Electric Utility,1,62.4,62.4,62.4,12,2014,GE,1.6-100,17,3,328,
5109,DTE Electric Company,58719,Brookfield,MI,Huron,WPH2,OP,Onshore Wind Turbine,WT,Electric Utility,1,74.8,74.8,74.8,2,2014,GE,1.6-100,17,3,328,
5701,El Paso Electric Co,55578,Hueco Mountain Wind Ranch,TX,Hudspeth,EXIS,OP,Onshore Wind Turbine,WT,Electric Utility,1,1.3,1.3,1.3,2,2001,Vestas,V47,20.1,1,213,48-011664
5906,EDF Renewable Services Inc,55741,Ridge Crest Wind Partners,CO,Logan,A1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,29.7,29.7,29.7,12,2001,Micon,Micon 900, , ,262.5,
