Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PV1,OP,PV,Electric Utility,1,0.1,0.1,0.1,3,1998,,Y,,,,,,,,0.1,Y,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PV2,OP,PV,Electric Utility,1,0.1,0.1,0.1,10,1999,,Y,,,,,,,,0.1,Y,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PVM,OP,PV,Electric Utility,1,0.4,0.4,0.4,4,1988,,Y,,,,,,,,0.4,Y,,,,,
803,Arizona Public Service Co,56228,Prescott Airport,AZ,Yavapai,PV1,OP,PV,Electric Utility,1,2.1,2.1,2.1,10,2002,,Y,,,,,,,,1,Y,,,,,
803,Arizona Public Service Co,57560,Chino Solar Valley,AZ,Yavapai,PV1,OP,PV,Electric Utility,1,19.0,19.0,19.0,12,2012,,Y,,,,,,,,21,Y,,,,,
803,Arizona Public Service Co,57561,Cotton Center Solar,AZ,Maricopa,PV1,OP,PV,Electric Utility,1,17.0,17.0,17.0,11,2011,,Y,,,,,,,,21,Y,,,,,
803,Arizona Public Service Co,57562,Paloma Solar,AZ,Maricopa,PV1,OP,PV,Electric Utility,1,17.6,17.6,17.6,9,2011,,Y,,,,,,,,22.5,,Y,,,,
803,Arizona Public Service Co,57563,Hyder Solar,AZ,Yuma,PV1,OP,PV,Electric Utility,1,17.0,17.0,17.0,11,2011,,Y,,,,,,,,18.8,Y,,,,,
803,Arizona Public Service Co,57563,Hyder Solar,AZ,Yuma,PV2,OP,PV,Electric Utility,1,5.0,5.0,5.0,2,2012,,Y,,,,,,,,5,Y,,,,,
803,Arizona Public Service Co,57997,Foothills Solar Plant,AZ,Yuma,PV1,OP,PV,Electric Utility,1,17.0,17.0,17.0,3,2013,,Y,,,,,,,,25,Y,,,,,
803,Arizona Public Service Co,57997,Foothills Solar Plant,AZ,Yuma,PV2,OP,PV,Electric Utility,1,18.0,18.0,18.0,12,2013,,Y,,,,,,,,27,Y,,,,,
803,Arizona Public Service Co,58383,Hyder II,AZ,Yuma,PV1,OP,PV,Electric Utility,1,14.0,14.0,14.0,12,2013,,Y,,,,,,,,21,Y,,,,,
2439,City of Bryan - (OH),58381,Bryan Solar Field,OH,Williams,1,OP,PV,Electric Utility,1,2.1,1.7,1.7,2,2012,,,,Y,,,,,,2.1,,Y,,,,
4922,Dayton Power & Light Co,2854,Yankee Street,OH,Montgomery,YS1,OP,PV,Electric Utility,1,1.1,1.1,1.1,3,2010,,,,Y,,,,,,1.1,Y,,Y,,,
5070,Delaware Electric Cooperative,58473,Bruce A Henry Solar Farm,DE,Sussex,BHSF,OP,PV,Electric Utility,1,4.0,4.0,4.0,8,2013,,,,Y,,,,,,5.2,Y,,,,,
5416,"Duke Energy Carolinas, LLC",57334,DE Solar 10240 Old Dowd Rd,NC,Mecklenburg,PV01,OP,PV,Electric Utility,1,1.9,1.9,1.9,9,2010,,,,Y,,,,,,2.2,Y,,,,,
5416,"Duke Energy Carolinas, LLC",57335,DE Solar 657 Brigham Rd,NC,Guilford,PV01,OP,PV,Electric Utility,1,1.3,1.3,1.3,4,2010,,,,Y,,,,,,1.5,Y,,,,,
5416,"Duke Energy Carolinas, LLC",57336,DE Solar 1725 Drywall Dr,NC,Gaston,PV01,OP,PV,Electric Utility,1,1.0,1.0,1.0,1,2010,,,,Y,,,,,,1.2,Y,,,,,
