Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.1,0.1,0.1,3,1998,,Y,,,,,,,,0.1,Y,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PV2,OP,Solar Photovoltaic,PV,Electric Utility,1,0.1,0.1,0.1,10,1999,,Y,,,,,,,,0.1,Y,,,,,
803,Arizona Public Service Co,116,Ocotillo,AZ,Maricopa,PVM,OP,Solar Photovoltaic,PV,Electric Utility,1,0.4,0.4,0.4,4,1988,,Y,,,,,,,,0.4,Y,,,,,
16572,Salt River Project,141,Agua Fria,AZ,Maricopa,PV-3,OP,Solar Photovoltaic,PV,Electric Utility,1,0.2,0.2,0.2,6,2001,,Y,,,,,,,,0.2,Y,,,,,
7095,City of Geneseo - (IL),944,Geneseo,IL,Henry,12,OP,Solar Photovoltaic,PV,Electric Utility,1,1.2,0.9,0.9,8,2015,,Y,,Y,,,,,,1.2,Y,,,,,
16179,Rochelle Municipal Utilities,960,North Ninth Street,IL,Ogle,SOL1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.3,0.3,0.3,11,2014,,Y,,Y,,,,,,0,Y,,,,,
4922,Dayton Power & Light Co,2854,Yankee Street,OH,Montgomery,YS1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.1,1.1,1.1,3,2010,,,,Y,,,,,,1.1,Y,,Y,,,
14063,Oklahoma Gas & Electric Co,2953,Mustang,OK,Canadian,SLR1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.5,2.5,2.5,8,2015,,Y,,,,,,,,3,Y,,,,,
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,SGSS,OP,Solar Photovoltaic,PV,Electric Utility,1,3.7,3.7,3.7,5,2001,,,,Y,,,,,,4.6,Y,Y,,,,
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,SGSS1,OP,Solar Photovoltaic,PV,Electric Utility,1,1.4,1.4,1.4,12,2010,,,,Y,,,,,,1.8,Y,,,,,
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,WMS,OP,Solar Photovoltaic,PV,Electric Utility,1,8.3,8.3,8.3,12,2014,Y,Y,,N,,,,,,10,Y,,,,,
55711,FPL Energy Operating Services Inc - SEGS,10439,SEGS III,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,34.2,36.0,34.0,12,1986,Y,Y,,,Y,,,,, ,,,,,,
55711,FPL Energy Operating Services Inc - SEGS,10440,SEGS IV,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,34.2,36.0,34.0,12,1986,Y,Y,,,Y,,,,, ,,,,,,
55711,FPL Energy Operating Services Inc - SEGS,10441,SEGS V,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,34.2,36.0,34.0,10,1987,Y,Y,,,Y,,,,, ,,,,,,
55711,FPL Energy Operating Services Inc - SEGS,10442,SEGS VI,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,35.0,36.0,35.0,12,1988,Y,Y,,,Y,,,,, ,,,,,,
55711,FPL Energy Operating Services Inc - SEGS,10443,SEGS VII,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,35.0,36.0,35.0,12,1988,Y,Y,,,Y,,,,, ,,,,,,
55711,FPL Energy Operating Services Inc - SEGS,10444,SEGS VIII,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,92.0,88.0,64.0,12,1989,Y,Y,,,Y,,,,, ,,,,,,
55711,FPL Energy Operating Services Inc - SEGS,10446,SEGS IX,CA,San Bernardino,GEN1,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,92.0,88.0,64.0,9,1990,Y,Y,,,Y,,,,, ,,,,,,
11427,Massachusetts Wtr RAuth-Deer I,10823,Deer Island Treatment Plant,MA,Suffolk,PV101,OP,Solar Photovoltaic,PV,Commercial CHP,5,0.1,0.1,0.1,5,2008,,,,Y,,,,,,0.7,Y,,,,,
50131,Enel Stillwater LLC,50765,Stillwater Facility,NV,Churchill,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,22.0,21.8,21.8,4,2012,,,,Y,,,,,,26.2,Y,,,,,
13943,Ocean County Utilities Auth,54569,Bayville Central Facility,NJ,Ocean,CPV1,OP,Solar Photovoltaic,PV,Commercial CHP,5,0.2,0.2,0.1,5,2007,,,,Y,,,,,,0.2,Y,,,,,
803,Arizona Public Service Co,56228,Prescott Airport,AZ,Yavapai,PV1,OP,Solar Photovoltaic,PV,Electric Utility,1,2.1,2.1,2.1,10,2002,,Y,,,,,,,,1,Y,,,,,
15500,Puget Sound Energy Inc,56322,Wild Horse,WA,Kittitas,WHS1,OP,Solar Photovoltaic,PV,Electric Utility,1,0.5,0.5,0.5,10,2007,,,,Y,,,,,,0.5,Y,,,,,
55744,Acciona Solar Power,56405,Nevada Solar One,NV,Clark,ONE,OP,Solar Thermal without Energy Storage,ST,IPP Non-CHP,2,75.7,68.5,40.0,6,2007,,Y,,,Y,,,,, ,,,,,,
54902,SunE Alamosa1 LLC,56481,SunE Alamosa,CO,Alamosa,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,12,2007,,Y,,,,,,,,1,Y,,,,,
54902,SunE Alamosa1 LLC,56481,SunE Alamosa,CO,Alamosa,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,7.2,6.7,6.7,12,2007,,Y,,,,,,,,7.2,Y,,,,,
55710,Barrick Goldstrike Mines Inc,56500,Western 102 Power Plant,NV,Storey,PV1,OP,Solar Photovoltaic,PV,Industrial Non-CHP,6,1.0,1.0,1.0,12,2007,,,,Y,,,,,,1.3,Y,,,,,
56203,Solar Star NAFB LLC,56568,Nellis Air Force Base Solar Array,NV,CLARK,NS1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,4.9,4.9,4.9,10,2007,,Y,,,,,,,,5,Y,,,,,
56203,Solar Star NAFB LLC,56568,Nellis Air Force Base Solar Array,NV,CLARK,NS2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,5.2,5.2,5.2,11,2007,,Y,,,,,,,,5,Y,,,,,
56203,Solar Star NAFB LLC,56568,Nellis Air Force Base Solar Array,NV,CLARK,NS3,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,3.9,3.9,3.9,12,2007,,Y,,,,,,,,4,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0001,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0002,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0003,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0004,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0005,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0006,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0007,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0008,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0009,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0010,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0011,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0012,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,Y,,,,,,,,0.1,Y,,,,,
55961,CalRenew-1 LLC,56768,CalRenew-1,CA,Fresno,CR1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,4,2010,,,,Y,,,,,,6.3,Y,,,,,
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN 1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.7,140.0,10,2013,,Y,,,Y,,,,, ,,,,,,
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN2,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.7,140.0,10,2013,,Y,,,Y,,,,, ,,,,,,
56028,MMA Fresno Power LP,56813,CSU Fresno Solar Project,CA,FRESNO,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2007,,,,Y,,,,,,0.6,Y,,,,,
56028,MMA Fresno Power LP,56813,CSU Fresno Solar Project,CA,FRESNO,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2007,,,,Y,,,,,,0.6,Y,,,,,
56027,MMA LA Power LP,56814,ELACC Photovoltaic Power Facility,CA,LOS ANGELES,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.4,0.3,5,2008,,,,Y,,,,,,0.6,Y,,,,,
56027,MMA LA Power LP,56814,ELACC Photovoltaic Power Facility,CA,LOS ANGELES,PV2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.4,0.3,5,2008,,,,Y,,,,,,0.6,Y,,,,,
56026,MMA DAS Power,56815,Denver Int Airport,CO,DENVER,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.9,1.9,1.8,9,2008,,Y,,,,,,,,2,Y,,,,,
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,LOS ANGELES,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,0.6,Y,,,,,
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,LOS ANGELES,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,0.4,Y,,,,,
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,LOS ANGELES,3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,0.4,Y,,,,,
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,LOS ANGELES,4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,0.4,Y,,,,,
57170,"EDF Renewable Asset Holdings, Inc.",56875,Sacramento Soleil LLC,CA,Sacramento,TBD,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,8,2008,,,,Y,,,,,,1.3,,Y,,,,
59100,"Sunlight General Solar Fund II, LLC",56877,Hall's Warehouse Solar Project,NJ,Middlesex,TBD,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.5,1.5,1.5,2,2009,,,,Y,,,,,,1.3,,Y,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,6,2006,,,,Y,,,,,,0.3,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,6,2006,,,,Y,,,,,,0.3,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2007,,,,Y,,,,,,0.1,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,0.3,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 5,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2007,,,,Y,,,,,,0.2,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 6,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,0.3,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 7,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,0.3,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 8,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.2,0.2,0.2,12,2007,,,,Y,,,,,,0.3,Y,,,,,
57249,EPP Renewable Energy,56883,Pennsauken Solar,NJ,Camden,GEN 9,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2007,,,,Y,,,,,,0.3,Y,,,,,
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,0.5,Y,,,,,
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,0.5,Y,,,,,
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,0.5,Y,,,,,
57249,EPP Renewable Energy,56888,Warren County Solar,NJ,Warren,GEN 4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,6,2012,,Y,,,,,,,,0.5,Y,,,,,
57249,EPP Renewable Energy,56889,PPL Renewable Energy Merck Solar,NJ,Union,GEN 1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.7,1.7,1.7,5,2009,,Y,,,,,,,,1.7,Y,,,,,
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,0.6,Y,,,,,
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,0.6,Y,,,,,
