Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Storage Technology 1,Storage Technology 2,Storage Technology 3,Storage Technology 4,Nameplate Reactive Power Rating,Storage Enclosure Type,Arbitrage,Frequency Regulation,Load Following,Ramping / Spinning Reserve,Co-Located Renewable Firming,Transmission and Distribution Deferral,System Peak Shaving,Load Management,Voltage or Reactive Power Support,Backup Power,Excess Wind and Solar Generation
9216,Imperial Irrigation District,389,El Centro,CA,Imperial,BESS,OP,Batteries,BA,Electric Utility,1,30.0,28.0,29.0,10,2016,20,30,30,LIB,,,,14.4,BL,N,Y,Y,Y,N,,,,Y,,N
11843,Maui Electric Co Ltd,792,Palaau Power,HI,Maui,BAT1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,5,2017,2,0.5,0.5,OTH,,,,2,CS,,Y,,,,,,,,,
9273,Indianapolis Power & Light Co,990,Harding Street,IN,Marion,BAT1,OP,Batteries,BA,Electric Utility,1,20.0,20.0,20.0,6,2016,20,20,20,LIB,,,,20,BL,,Y,,,,,,,,,
31719,FPL Energy Wyman LLC,1507,William F Wyman,ME,Cumberland,BESS,OP,Batteries,BA,IPP Non-CHP,2,16.7,16.2,16.2,12,2016,10.9,16.7,16.2,LIB,,,,10.2,CS,,Y,,,,,,,,,
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,Clermont,BECK1,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,1,2015,1,2,2,OTH,,,,2,CS,,Y,,,,,,,,,
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,OH,Clermont,BECK2,OP,Batteries,BA,Electric Utility,1,2.0,2.0,2.0,11,2015,0.8,2,2,OTH,,,,2,CS,,Y,,,,,,,,,
10451,Kotzebue Electric Assn Inc,6304,Kotzebue,AK,Northwest Arctic,ES1,OP,Batteries,BA,Electric Utility,1,1.2,1.2,1.2,12,2015,1,1.2,1.2,LIB,,,,1.2,CT,,Y,Y,Y,Y,,Y,Y,,Y,Y
13683,North Carolina El Member Corp,6377,Ocracoke,NC,Hyde,BAT,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,1,2017,1,0.5,0.5,LIB,,,,0,CS,,,,,,,,Y,,,
17609,Southern California Edison Co,6704,Pebbly Beach,CA,Los Angeles,NASB1,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,8,2012,6.8,1,1,NAB,,,,0.8,CS,,,,Y,,,Y,Y,Y,,
189,PowerSouth Energy Cooperative,7063,McIntosh (AL),AL,Washington,1,OP,Natural Gas with Compressed Air Storage,CE,Electric Utility,1,110.0,110.0,110.0,6,1991,110,52,110,,,,,0.9,BL,,,Y,,,,Y,Y,Y,,
54736,AltaGas Pomona Energy Inc.,50300,AltaGas Pomona Energy Inc.,CA,Los Angeles,BESS1,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,12,2016,20,20,20,LIB,,,,20,BL,,Y,Y,,,,N,N,N,N,
6862,"Green Mountain Storage, LLC",55370,"Green Mountain Storage, LLC",PA,Somerset,BGM,OP,Batteries,BA,IPP Non-CHP,2,10.4,10.4,10.4,5,2016,10.4,10.4,10.4,LIB,,,,10.4,CT,,Y,,,,,,,,,
6865,FPL Energy Meyersdale Windpower LLC,56052,Meyersdale Windpower,PA,Somerset,BMY,OP,Batteries,BA,IPP Non-CHP,2,18.0,18.0,18.0,12,2015,18,18,18,LIB,,,,18,CT,,Y,,,,,,,,,
17609,Southern California Edison Co,56472,Grapeland Peaker,CA,San Bernardino,BA1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,10,10,10,LIB,,,,6,BL,N,Y,N,Y,N,N,N,N,N,N,N
17609,Southern California Edison Co,56475,Center Peaker,CA,Los Angeles,BA1,OP,Batteries,BA,Electric Utility,1,10.0,10.0,10.0,12,2016,10,10,10,LIB,,,,6,BL,N,Y,N,Y,N,N,N,N,N,N,N
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN 1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.7,140.0,10,2013, , , ,,,,, ,,,,,,,,,Y,,,Y
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN2,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.7,140.0,10,2013, , , ,,,,, ,,,,,,,,,Y,,,Y
56272,Duke Energy DEGS Notrees,56961,Notrees Windpower,TX,Ector,BATT,OP,Batteries,BA,IPP Non-CHP,2,36.0,36.0,36.0,12,2012,13.6,36,36,LIB,,,,36,BL,N,Y,N,N,N,N,N,N,N,N,N
59155,"First Wind O&M, LLC",57082,Kaheawa Wind Power II LLC,HI,Maui,2,OP,Batteries,BA,IPP Non-CHP,2,10.0,10.0,10.0,6,2012,20,10,10,LIB,,,,10,BL,,Y,Y,Y,Y,,,,Y,Y,Y
56641,Tonopah Solar Energy LLC,57275,Crescent Dunes Solar Energy,NV,Nye,TSE-1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,125.0,110.0,110.0,11,2015, , , ,,,,, ,,,,,,,,,,,,
56678,FPL Energy Illinois Wind LLC,57325,FPL Energy Illinois Wind LLC,IL,DeKalb,BFT,OP,Batteries,BA,IPP Non-CHP,2,20.0,20.0,20.0,11,2014,8.3,20,20,LIB,,,,0,CS,,Y,,,,,,,,,
19740,AES Wind Generation Inc,57447,Laurel Mountain,WV,Barbour,2,OP,Batteries,BA,IPP Non-CHP,2,32.0,32.0,32.0,10,2011,32,32,32,LIB,,,,0,CS,,Y,,,,,,,,,
7353,Golden Valley Elec Assn Inc,57583,Battery Energy Storage System,AK,Fairbanks North Star,BESS,OP,Batteries,BA,Electric Utility,1,40.0,40.0,40.0,12,2003,11,4,40,NIB,,,,46,BL,,Y,,Y,,,,,Y,,N
56918,University of California San Diego,57584,University of California San Diego,CA,San Diego,BS1,OP,Batteries,BA,Commercial CHP,5,2.5,2.5,2.5,12,2015,2.5,2.5,2.5,LIB,,,,2.5,CS,,,Y,,,,Y,Y,,,
57031,Beacon Power LLC,57710,Stephentown Spindle,NY,Rensselaer,SRS1,OP,Flywheels,FW,IPP Non-CHP,2,20.0,20.0,20.0,1,2011,5,20,20,,,,,0,CS,,Y,,,,,,,,,
57031,Beacon Power LLC,57716,Hazle Spindle,PA,Luzerne,HRS1,OP,Flywheels,FW,IPP Non-CHP,2,20.0,20.0,20.0,9,2013,5,20,20,,,,,0,CS,,Y,,,,,,,,,
57372,Auwahi Wind Energy LLC,57996,Auwahi Wind Energy,HI,Maui,AWEB,OP,Batteries,BA,IPP Non-CHP,2,11.0,11.0,11.0,12,2012,4.4,11,11,LIB,,,,5.4,CS,,,,Y,,,,,,,
11204,Los Alamos County,58256,Los Alamos PV Site,NM,Los Alamos,2,OP,Batteries,BA,Electric Utility,1,1.0,1.0,1.0,9,2012,6,1,1,NAB,,,,750,CS,,,,Y,,,,,,,
11204,Los Alamos County,58256,Los Alamos PV Site,NM,Los Alamos,3,OP,Batteries,BA,Electric Utility,1,0.8,0.8,0.8,9,2012,2.3,0.8,0.8,PBB,,,,600,CS,,,,Y,,,,,,,
10433,Kodiak Electric Assn Inc,58405,ESS Battery Microgrid,AK,Kodiak Island,1,OP,Batteries,BA,Electric Utility,1,3.0,3.0,3.0,11,2012,3,3,3,PBB,,,,3,CS,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
58462,Battery Utility of Ohio LLC,58475,Battery Utility of Ohio,OH,Delaware,BOU,OP,Batteries,BA,IPP Non-CHP,2,4.0,4.0,4.0,3,2014,2,4,4,LIB,,,,0,CS,,Y,,,,,,,,,
