Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,Yates,4,OP,ST,IPP Non-CHP,2,112.5,107.5,106.3,BIT,WDS,Y,BIT,NG,WDS,SUB,DFO,,N,, , , , ,,,,,,
52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CA,San Bernardino,GEN1,OP,ST,IPP CHP,3,108.0,101.2,101.5,BIT,,Y,BIT,PC,,,,,N,, , , , ,,,,,,
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN2,SB,ST,IPP CHP,3,35.0,32,31.5,BIT,PC,Y,BIT,PC,,,,,N,, , , , ,,,,,,
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,PA,Beaver,GEN3,SB,ST,IPP CHP,3,114.0,114,120,BIT,PC,Y,BIT,PC,,,,,N,, , , , ,,,,,,
177,AES Hawaii Inc,10673,AES Hawaii,HI,Honolulu,GEN1,OP,ST,IPP CHP,3,203.0,180,180,BIT,WO,Y,SUB,TDF,WO,DFO,WC,OBS,N,, , , , ,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,1,OP,CA,Electric Utility,1,7.5,9,9,NG,DFO,N,,,,,,,Y,N,10, ,10, ,6H,,Y,Y,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,2,OP,CA,Electric Utility,1,7.5,9,9,NG,DFO,N,,,,,,,Y,N,10, ,10, ,6H,,Y,Y,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,3,OP,CA,Electric Utility,1,25.0,22,22,NG,DFO,N,,,,,,,Y,N,20, ,20, ,6H,,N,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,Covington,4,OP,CT,Electric Utility,1,107.0,108,116,NG,DFO,N,,,,,,,Y,Y,109, ,109, ,1H,1H,N,,,
189,PowerSouth Energy Cooperative,7063,McIntosh (AL),AL,Washington,2,OP,GT,Electric Utility,1,113.0,114,120,NG,DFO,N,,,,,,,Y,Y,114, ,114, ,6H,,Y,Y,Y,
189,PowerSouth Energy Cooperative,7063,McIntosh (AL),AL,Washington,3,OP,GT,Electric Utility,1,113.0,114,120,NG,DFO,N,,,,,,,Y,Y,114, ,114, ,6H,,Y,Y,Y,
195,Alabama Power Co,10,Greene County,AL,Greene,GT10,OP,GT,Electric Utility,1,80.0,85,101,NG,DFO,N,,,,,,,Y,Y,80, ,80, ,24H,,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT2,OP,GT,Electric Utility,1,80.0,84,100,NG,DFO,N,,,,,,,Y,Y,80, ,80, ,24H,,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT3,OP,GT,Electric Utility,1,80.0,82,98,NG,DFO,N,,,,,,,Y,Y,80, ,80, ,24H,,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT4,OP,GT,Electric Utility,1,80.0,81,97,NG,DFO,N,,,,,,,Y,Y,80, ,80, ,24H,,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT5,OP,GT,Electric Utility,1,80.0,82,98,NG,DFO,N,,,,,,,Y,Y,80, ,80, ,24H,,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT6,OP,GT,Electric Utility,1,80.0,81,97,NG,DFO,N,,,,,,,Y,Y,80, ,80, ,24H,,Y,,,Y
