Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
195,Alabama Power Co,10,Greene County,AL,Greene,GT10,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,85,101,5,1996,NG,DFO,Y,N,,,,,,,Y,Y,80,101,80,101,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,84,100,5,1996,NG,DFO,Y,N,,,,,,,Y,Y,80,100,80,100,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT3,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,82,98,5,1995,NG,DFO,Y,N,,,,,,,Y,Y,80,98,80,98,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT4,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,81,97,5,1995,NG,DFO,Y,N,,,,,,,Y,Y,80,97,80,97,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT5,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,82,98,5,1995,NG,DFO,Y,N,,,,,,,Y,Y,80,98,80,98,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT6,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,81,97,5,1995,NG,DFO,Y,N,,,,,,,Y,Y,80,97,80,97,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT7,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,80,96,5,1995,NG,DFO,Y,N,,,,,,,Y,Y,80,96,80,96,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT8,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,83,99,5,1996,NG,DFO,Y,N,,,,,,,Y,Y,80,99,80,99,1H,1H,Y,,,Y
195,Alabama Power Co,10,Greene County,AL,Greene,GT9,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,80.0,82,98,5,1996,NG,DFO,Y,N,,,,,,,Y,Y,80,98,80,98,1H,1H,Y,,,Y
29305,City of Madelia - (MN),30,Madelia,MN,Watonwan,1,OP,Petroleum Liquids,IC,Electric Utility,1,3.1,3.1,3.1,5,2001,DFO,NG,Y,Y,DFO,NG,,,,,Y,Y,3.1,3.1,3.1,3.1,1H,1H,Y,Y,,
29305,City of Madelia - (MN),30,Madelia,MN,Watonwan,2,OP,Petroleum Liquids,IC,Electric Utility,1,2.0,1.8,2,6,1965,DFO,NG,Y,Y,NG,DFO,,,,,Y,Y,1.8,2,1.8,2,1H,1H,Y,Y,,
29305,City of Madelia - (MN),30,Madelia,MN,Watonwan,3,OP,Petroleum Liquids,IC,Electric Utility,1,1.1,0.9,1,1,1959,DFO,NG,Y,Y,NG,DFO,,,,,Y,Y,0.9,0.9,0.9,0.9,1H,1H,Y,Y,,
