Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
195,Alabama Power Co,10,Greene County,AL,1,OP,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,195,0.6
195,Alabama Power Co,10,Greene County,AL,1,OP,Mississippi Power Co,2992 West Beach Boulevard,Gulfport,MS,39501,12686,0.4
195,Alabama Power Co,10,Greene County,AL,2,OP,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,195,0.6
195,Alabama Power Co,10,Greene County,AL,2,OP,Mississippi Power Co,2992 West Beach Boulevard,Gulfport,MS,39501,12686,0.4
195,Alabama Power Co,26,E C Gaston,AL,1,OP,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,1,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,2,OP,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,2,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,3,OP,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,3,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,GT4,OP,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,GT4,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,ST4,OP,Alabama Power Co,600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,ST4,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
3265,Cleco Power LLC,51,Dolet Hills,LA,1,RE,Cleco Power LLC,"2030 Donahue Ferry Road, P.O. Box 5000",Pineville,LA,71361,3265,0.5
3265,Cleco Power LLC,51,Dolet Hills,LA,1,RE,"Northeast Texas Elec Coop, Inc",2221 H.G. Mosley Pwky.,Longview,TX,75604,13670,0.0586
3265,Cleco Power LLC,51,Dolet Hills,LA,1,RE,Oklahoma Municipal Power Authority,P O Box 1960,Edmond,OK,73083,14077,0.039
3265,Cleco Power LLC,51,Dolet Hills,LA,1,RE,Southwestern Electric Power Co,212 E. 6th Street,Tulsa,OK,74119,17698,0.4024
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,City of Hastings - (NE),1228 North Denver Avenue,Hastings,NE,68902,8245,0.1591
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,City of Nebraska City,100 Central Ave,Nebraska City,NE,68410,13334,0.0455
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,Municipal Energy Agency of NE,8377 Glynoaks Drive,Lincoln,NE,68512,21352,0.3636
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,Heartland Consumers Power Dist,432 SE 12th Street,Madison,SD,57042,40604,0.3636
8245,City of Hastings - (NE),60,Whelan Energy Center,NE,2,OP,City of Grand Island - (NE),315 N Jefferson St,Grand Island,NE,68801,40606,0.0682
3522,Chugach Electric Assn Inc,77,Eklutna Hydro Project,AK,1,OP,Anchorage Municipal Light and Power,1200 East First Avenue,Anchorage,AK,99501,599,0.533
3522,Chugach Electric Assn Inc,77,Eklutna Hydro Project,AK,1,OP,Chugach Electric Assn Inc,5601 Electron Drive,Anchorage,AK,99519,3522,0.3
3522,Chugach Electric Assn Inc,77,Eklutna Hydro Project,AK,1,OP,Matanuska Electric Assn Inc, 163 East Industrial Way,Palmer,AK,99645,11824,0.167
3522,Chugach Electric Assn Inc,77,Eklutna Hydro Project,AK,2,OP,Anchorage Municipal Light and Power,1200 East First Avenue,Anchorage,AK,99501,599,0.533
3522,Chugach Electric Assn Inc,77,Eklutna Hydro Project,AK,2,OP,Chugach Electric Assn Inc,5601 Electron Drive,Anchorage,AK,99519,3522,0.3
3522,Chugach Electric Assn Inc,77,Eklutna Hydro Project,AK,2,OP,Matanuska Electric Assn Inc, 163 East Industrial Way,Palmer,AK,99645,11824,0.167
213,Alaska Electric Light & Power Co.,78,Snettisham,AK,1,OP,Alaska Industrial Dev&Exp Auth,813 W Northern Lights Blvd.,Anchorage,AK,99503,253,1.0
