Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID
7,Tate & Lyle Ingredients Americas Inc,10867,Tate & Lyle Decatur Plant Cogen,COGEN1,GEN1
7,Tate & Lyle Ingredients Americas Inc,10867,Tate & Lyle Decatur Plant Cogen,COGEN2,GEN1
21,AES Shady Point LLC,10671,AES Shady Point LLC,1A,GEN1
21,AES Shady Point LLC,10671,AES Shady Point LLC,1B,GEN1
21,AES Shady Point LLC,10671,AES Shady Point LLC,2A,GEN2
21,AES Shady Point LLC,10671,AES Shady Point LLC,2B,GEN2
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,5,3
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,4,3
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,6,4
35,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,BLR1,GEN1
52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CFB,GEN1
82,Ada Cogeneration Ltd Partnership,10819,Ada Cogeneration LP,HRSG1,GEN2
88,Granite Ridge Energy LLC,55170,Granite Ridge,STB2,STG
88,Granite Ridge Energy LLC,55170,Granite Ridge,STB1,STG
135,Agrilectric Power Partners Ltd,10593,Agrilectric Power Partners Ltd,BLR1,GEN1
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,4,GEN2
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,3,GEN2
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,2,GEN2
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,2,GEN3
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,4,GEN3
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,3,GEN3
142,AES Beaver Valley,10676,AES Beaver Valley Partners Beaver Valley,5,GEN3
156,AES Deepwater Inc,10670,AES Deepwater,AAB001,GEN1
177,AES Hawaii Inc,10673,AES Hawaii,BLRB,GEN1
177,AES Hawaii Inc,10673,AES Hawaii,BLRA,GEN1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,1,1
189,PowerSouth Energy Cooperative,56,Charles R Lowman,2,2
189,PowerSouth Energy Cooperative,56,Charles R Lowman,3,3
189,PowerSouth Energy Cooperative,533,McWilliams,HRSG1,1
189,PowerSouth Energy Cooperative,533,McWilliams,HRSG1,2
189,PowerSouth Energy Cooperative,533,McWilliams,HRSG1,3
189,PowerSouth Energy Cooperative,533,McWilliams,HRSGV2,VAN3
189,PowerSouth Energy Cooperative,533,McWilliams,HRSGV1,VAN3
195,Alabama Power Co,3,Barry,1,1
195,Alabama Power Co,3,Barry,2,2
195,Alabama Power Co,3,Barry,3,3
195,Alabama Power Co,3,Barry,4,4
195,Alabama Power Co,3,Barry,5,5
195,Alabama Power Co,3,Barry,6B,A1ST
195,Alabama Power Co,3,Barry,6A,A1ST
195,Alabama Power Co,3,Barry,7B,A2ST
195,Alabama Power Co,3,Barry,7A,A2ST
195,Alabama Power Co,7,Gadsden,1,1
195,Alabama Power Co,7,Gadsden,2,2
195,Alabama Power Co,8,Gorgas,10,10
195,Alabama Power Co,8,Gorgas,6,6
195,Alabama Power Co,8,Gorgas,7,7
195,Alabama Power Co,8,Gorgas,8,8
195,Alabama Power Co,8,Gorgas,9,9
195,Alabama Power Co,10,Greene County,1,1
195,Alabama Power Co,10,Greene County,2,2
195,Alabama Power Co,26,E C Gaston,1,1
195,Alabama Power Co,26,E C Gaston,2,2
195,Alabama Power Co,26,E C Gaston,3,3
195,Alabama Power Co,26,E C Gaston,5,5
195,Alabama Power Co,26,E C Gaston,4,ST4
195,Alabama Power Co,6001,Joseph M Farley,NSS1,1
195,Alabama Power Co,6001,Joseph M Farley,NSS2,2
195,Alabama Power Co,6002,James H Miller Jr,1,1
195,Alabama Power Co,6002,James H Miller Jr,2,2
195,Alabama Power Co,6002,James H Miller Jr,3,3
195,Alabama Power Co,6002,James H Miller Jr,4,4
195,Alabama Power Co,7697,Washington County Cogeneration Facility,1,2
195,Alabama Power Co,7698,General Electric Plastic,HRSG1,2
195,Alabama Power Co,7721,Theodore Cogen Facility,HRSG,2
261,AGC Division of APG Inc,6705,Warrick,1,1
261,AGC Division of APG Inc,6705,Warrick,2,2
261,AGC Division of APG Inc,6705,Warrick,3,3
261,AGC Division of APG Inc,6705,Warrick,4,4
298,City of Alexandria - (LA),6558,D G Hunter,3,3
298,City of Alexandria - (LA),6558,D G Hunter,4,4
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,1B,0100
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,1A,0100
