Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3
7,Tate & Lyle Ingredients Americas Inc,10867,Tate & Lyle Decatur Plant Cogen,IL,COGEN1,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
7,Tate & Lyle Ingredients Americas Inc,10867,Tate & Lyle Decatur Plant Cogen,IL,COGEN2,OP,N,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,
21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,1A,OP,Da,Y,2003-062-TVR,10,2011,FD, ,1,DP,MO,1991,NC,,,NC,,,FD, ,NP,MO,1991,NC,,,NC,,,FD,0.03,PB,PS,1991,FD,1991,BP,,,BP,,
21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,1B,OP,Da,Y,2003-062-TVR,10,2011,FD, ,1,DP,MO,1991,NC,,,NC,,,FD, ,NP,MO,1991,NC,,,NC,,,FD,0.03,PB,PS,1991,FD,1991,BP,,,BP,,
21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,2A,OP,Da,Y,2003-062-TVR,10,2011,FD, ,1,DP,MO,1991,NC,,,NC,,,FD, ,NP,MO,1991,NC,,,NC,,,FD,0.03,PB,PS,1991,FD,1991,BP,,,BP,,
21,AES Shady Point LLC,10671,AES Shady Point LLC,OK,2B,OP,Da,Y,2003-062-TVR,10,2011,FD, ,1,DP,MO,1991,NC,,,NC,,,FD, ,NP,MO,1991,NC,,,NC,,,FD,0.03,PB,PS,1991,FD,1991,BP,,,BP,,
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,4,RE,N,N,, , ,ST, , ,SB,OT,1988,,,,,,,ST, ,NP,DA,1995,,,,,,,ST,0.28,PB,NV,1971,, ,,,,,,
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,5,RE,N,N,, , ,ST, , ,SB,MO,1988,,,,,,,ST, ,NP,DA,1995,,,,,,,ST,0.28,PB,NV,1971,, ,,,,,,
25,Greenidge Generation Holdings LLC,2527,Greenidge Generation LLC,NY,6,OP,D,N,, , ,ST,0.19,1,SB,OH,2007,NC,,,NC,,,ST,0.12,NP,OT,1995,AA,LN,SR,SN,,,ST,0.22,PB,NV,1970,ST,2007,BP,CD,ACI,,,
35,AES WR Ltd Partnership,10678,AES Warrior Run Cogeneration Facility,MD,BLR1,OP,Db,N,, , ,ST,0.16,1,SB,TH,2000,CF,,,CF,,,ST,0.1,NP,DA,2000,SN,,,SN,,,ST,20,OP,SM,2000,ST,2014,BR,,,BR,,
