Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3,Steam Plant Type
195,Alabama Power Co,3.0,Barry,AL,1,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.3,NP,OT,2000,LN,SN,,LN,SN,,ST,0.12,PB,PS,1975,FD,2016,,,,,,,1.0
195,Alabama Power Co,3.0,Barry,AL,2,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.3,NP,OT,2000,LN,SN,,LN,SN,,ST,0.12,PB,PS,1975,FD,2016,,,,,,,1.0
195,Alabama Power Co,3.0,Barry,AL,3,RE,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.3,NP,OT,2000,LN,SN,,LN,SN,,ST,0.12,PB,PS,1975,FD,2016,,,,,,,1.0
195,Alabama Power Co,3.0,Barry,AL,4,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.3,NP,OT,2000,LN,SN,,LN,SN,,ST,0.12,PB,PS,1975,FD,2016,,,,EC,ACI,,1.0
195,Alabama Power Co,3.0,Barry,AL,5,OP,N,N,, , ,ST,1.8,0.95,DP,DA,1975,IF,WA,,IF,WA,,FD,0.07,NP,OT,2000,LN,SR,,LN,SR,,ST,0.12,PB,PS,1975,FD,2016,,,,JB,EC,,1.0
195,Alabama Power Co,3.0,Barry,AL,6A,OP,Db,Y,503-1001,12,2003,, , ,,, ,,,,,,,ST,0.013,NP,TH,2000,LN,SR,,LN,SR,,ST,0.011,PB,NV,2000,, ,,,,,,,1.0
195,Alabama Power Co,3.0,Barry,AL,6B,OP,Db,Y,503-1001,12,2003,, , ,,, ,,,,,,,ST,0.013,NP,TH,2000,LN,SR,,LN,SR,,ST,0.011,PB,NS,2000,, ,,,,,,,1.0
195,Alabama Power Co,3.0,Barry,AL,7A,OP,Db,Y,503-1001,12,2003,, , ,,, ,,,,,,,ST,0.013,NP,TH,2001,LN,SR,,LN,SR,,ST,0.011,PB,NS,2001,, ,,,,,,,1.0
195,Alabama Power Co,3.0,Barry,AL,7B,OP,Db,Y,503-1001,12,2003,, , ,,, ,,,,,,,ST,0.013,NP,TH,2001,LN,SR,,LN,SR,,ST,0.011,PB,NS,2001,, ,,,,,,,1.0
195,Alabama Power Co,7.0,Gadsden,AL,1,OP,N,N,, , ,ST,4, ,DP,DA,1973,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,1996,MS,,,MS,,,ST,0.12,PB,YR,1975,FD,2016,OT,,,,,,1.0
195,Alabama Power Co,7.0,Gadsden,AL,2,OP,N,N,, , ,ST,4, ,DP,DA,1973,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,1996,MS,,,MS,,,ST,0.12,PB,YR,1975,FD,2016,OT,,,,,,1.0
195,Alabama Power Co,8.0,Gorgas,AL,10,OP,N,N,, , ,ST,4,0.98,DP,DA,1975,WA,IF,,WA,IF,,FD,0.21,NP,OT,2000,LN,SR,,LN,SR,,ST,0.12,PB,PS,1975,FD,2016,,,,BP,SP,ACI,1.0
195,Alabama Power Co,8.0,Gorgas,AL,6,RE,N,N,, , ,ST,4, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.21,NP,OT,2000,LN,,,LN,,,ST,0.12,PB,PS,1975,FD,2016,,,,,,,1.0
195,Alabama Power Co,8.0,Gorgas,AL,7,RE,N,N,, , ,ST,4, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.21,NP,OT,2000,LN,,,LN,,,ST,0.12,PB,PS,1975,FD,2016,,,,,,,1.0
195,Alabama Power Co,8.0,Gorgas,AL,8,OP,N,N,, , ,ST,4,0.98,DP,DA,1975,IF,WA,,IF,WA,,FD,0.21,NP,OT,2000,LN,,,LN,,,ST,0.12,PB,PS,1975,FD,2016,,,,BP,SP,ACI,1.0
195,Alabama Power Co,8.0,Gorgas,AL,9,OP,N,N,, , ,ST,4,0.98,DP,DA,1975,IF,WA,,IF,WA,,FD,0.21,NP,OT,2000,LN,,,LN,,,ST,0.12,PB,PS,1975,FD,2016,,,,BP,SP,ACI,1.0
195,Alabama Power Co,10.0,Greene County,AL,1,OP,N,N,, , ,ST,4, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,2000,NC,,,LN,,,ST,0.12,PB,PS,1975,FD,2016,OT,,,OT,,,1.0
195,Alabama Power Co,10.0,Greene County,AL,2,OP,N,N,, , ,ST,4, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,2000,NC,,,LN,,,ST,0.12,PB,PS,1975,FD,2016,OT,,,OT,,,1.0
195,Alabama Power Co,26.0,E C Gaston,AL,1,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,1996,LN,,,NC,,,ST,0.12,PB,PS,1975,FD,2016,OT,,,OT,,,1.0
195,Alabama Power Co,26.0,E C Gaston,AL,2,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,1996,LN,,,NC,,,ST,0.12,PB,PS,1975,FD,2016,OT,,,OT,,,1.0
195,Alabama Power Co,26.0,E C Gaston,AL,3,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,1996,LN,,,NC,,,ST,0.12,PB,PS,1975,FD,2016,OT,,,OT,,,1.0
195,Alabama Power Co,26.0,E C Gaston,AL,4,OP,N,N,, , ,ST,3.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD,0.4,NP,OT,1996,LN,,,NC,,,ST,0.12,PB,PS,1975,FD,2016,OT,,,OT,,,1.0
195,Alabama Power Co,26.0,E C Gaston,AL,5,OP,N,N,, , ,ST,3.8,0.95,DP,DA,1975,IF,WA,,IF,WA,,FD,0.1,NP,OT,1996,LN,SR,,NC,,,ST,0.12,PB,PS,1975,FD,2016,,,,ACI,JB,,1.0
18642,Tennessee Valley Authority,46.0,Browns Ferry,AL,NSS1,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,3.0
18642,Tennessee Valley Authority,46.0,Browns Ferry,AL,NSS2,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,3.0
18642,Tennessee Valley Authority,46.0,Browns Ferry,AL,NSS3,OP,,,, , ,, , ,,, ,,,,,,,, ,,, ,,,,,,,, ,,, ,, ,,,,,,,3.0
18642,Tennessee Valley Authority,47.0,Colbert,AL,1,OP,N,N,, , ,ST,2.2, ,DP,DA,1991,NC,,,NC,,,FD, ,NP,YR,1996,LN,,,NC,,,ST,0.12,PB,PS,1978,,2016,EK,,,,,,1.0
18642,Tennessee Valley Authority,47.0,Colbert,AL,2,OP,N,N,, , ,ST,2.2, ,DP,DA,1991,NC,,,NC,,,FD, ,NP,YR,1996,LN,,,NC,,,ST,0.12,PB,PS,1978,,2016,EK,,,,,,1.0
18642,Tennessee Valley Authority,47.0,Colbert,AL,3,OP,N,N,, , ,ST,2.2, ,DP,DA,1991,NC,,,NC,,,FD, ,NP,YR,1996,LN,,,NC,,,ST,0.12,PB,PS,1978,,2016,EK,,,,,,1.0
18642,Tennessee Valley Authority,47.0,Colbert,AL,4,OP,N,N,, , ,ST,2.2, ,DP,DA,1991,NC,,,NC,,,FD, ,NP,YR,1996,LN,,,NC,,,ST,0.12,PB,PS,1978,,2016,EK,,,,,,1.0
18642,Tennessee Valley Authority,47.0,Colbert,AL,5,OP,N,N,, , ,ST,2.2, ,DP,DA,1979,,,,,,,FD, ,NP,YR,1996,LN,SR,,NC,,,ST,0.12,PB,PS,1978,, ,,,,,,,1.0
18642,Tennessee Valley Authority,50.0,Widows Creek,AL,1,RE,N,N,, , ,ST, , ,DP,DA,1979,,,,,,,FD, ,NP,YR,2000,LN,,,NC,,,ST,0.12,PB,PS,1977,, ,,,,,,,1.0
